"Data Source","World Development Indicators",

"Last Updated Date","2018-01-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Cuba","CUB","Electricity production from renewable sources, excluding hydroelectric (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","817000000","645000000","719000000","736000000","756000000","773000000","836000000","956000000","958000000","954000000","975000000","1046000000","1085000000","1125000000","1131000000","1185000000","1205000000","1317000000","1280000000","1449000000","1264000000","1337000000","887000000","897000000","690000000","922000000","870000000","779000000","881000000","944000000","930000000","939000000","720000000","789000000","420000000","406000000","416000000","564000000","545000000","467000000","474000000","573000000","706000000","674000000","","","",
"Curacao","CUW","Electricity production from renewable sources, excluding hydroelectric (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8000000","8000000","8000000","8000000","8000000","8000000","8000000","8000000","32000000","32000000","32000000","32000000","32000000","32000000","32000000","32000000","32000000","32000000","32000000","32000000","32000000","32000000","","","",
"Cayman Islands","CYM","Electricity production from renewable sources, excluding hydroelectric (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Electricity production from renewable sources, excluding hydroelectric (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000000","1000000","3000000","15000000","31000000","73000000","178000000","257000000","327000000","317000000","","","",
"Czech Republic","CZE","Electricity production from renewable sources, excluding hydroelectric (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","161000000","321000000","405000000","292000000","494000000","587000000","677000000","526000000","523000000","506000000","496000000","722000000","752000000","970000000","1321000000","1707000000","2225000000","3113000000","5285000000","5936000000","6575000000","7263000000","7996000000","","",
"Germany","DEU","Electricity production from renewable sources, excluding hydroelectric (kWh)","EG.ELC.RNWX.KH","0","0","0","0","0","0","0","0","0","0","2544000000","2768000000","2817000000","2912000000","1046000000","1103000000","1251000000","1221000000","1265000000","1322000000","2852000000","2934000000","2645000000","2469000000","2645000000","2832000000","2600000000","2307000000","2376000000","2540000000","1667000000","2088000000","2338000000","2642000000","3503000000","4152000000","4594000000","5705000000","7686000000","9070000000","13743000000","15162000000","21353000000","27869000000","36538000000","42867000000","51630000000","67151000000","72806000000","75827000000","83856000000","106102000000","121703000000","129368000000","142926000000","177054000000","","",
"Djibouti","DJI","Electricity production from renewable sources, excluding hydroelectric (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Electricity production from renewable sources, excluding hydroelectric (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Electricity production from renewable sources, excluding hydroelectric (kWh)","EG.ELC.RNWX.KH","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3000000","6000000","11000000","11000000","19000000","60000000","66000000","87000000","177000000","235000000","372000000","554000000","797000000","1032000000","1324000000","1579000000","1710000000","1821000000","2060000000","2910000000","3898000000","4348000000","5542000000","5818000000","6757000000","8057000000","9498000000","9789000000","9178000000","10277000000","10070000000","10044000000","12408000000","14164000000","14820000000","15971000000","17967000000","17438000000","","",
"Dominican Republic","DOM","Electricity production from renewable sources, excluding hydroelectric (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","76000000","75000000","75000000","78000000","78000000","82000000","80000000","80000000","84000000","75000000","75000000","84000000","93000000","133000000","50000000","50000000","52000000","28000000","25000000","25000000","25000000","26000000","35000000","45000000","41000000","40000000","48000000","78000000","78000000","83000000","85000000","87000000","90000000","87000000","93000000","98000000","101000000","106000000","119000000","143000000","181000000","183000000","184000000","878000000","","","",
"Algeria","DZA","Electricity production from renewable sources, excluding hydroelectric (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"East Asia & Pacific (excluding high income)","EAP","Electricity production from renewable sources, excluding hydroelectric (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","0","0","0","0","0","0","0","3000000","638000000","2077000000","3114000000","3962000000","5139000000","5576000000","6143000000","5804000000","5625000000","6233000000","6716000000","7091000000","6883000000","6915000000","6905000000","8765000000","11724000000","11393000000","13131000000","14721000000","17226000000","20187000000","20311000000","20648000000","20933000000","22191000000","25579000000","29860000000","34915000000","51648000000","72110000000","94220000000","125890000000","158927000000","223213000000","262999000000","","","",
"Early-demographic dividend","EAR","Electricity production from renewable sources, excluding hydroelectric (kWh)","EG.ELC.RNWX.KH","41000000","44000000","45000000","63000000","97000000","100000000","122000000","173000000","179000000","178000000","166000000","620000000","655000000","837000000","1208000000","1457000000","1837000000","1884000000","1834000000","2776000000","4053000000","5495000000","6769000000","7867000000","8600000000","9076000000","10430000000","11333000000","12215000000","13011000000","13851000000","15599000000","16610000000","16842000000","18166000000","19387000000","19542000000","20642000000","22606000000","25827000000","30550000000","32376000000","33661000000","36516000000","39798000000","43862000000","48499000000","54580000000","59373000000","68805000000","76621000000","88199000000","103280000000","115906000000","135111000000","","","",
"East Asia & Pacific","EAS","Electricity production from renewable sources, excluding hydroelectric (kWh)","EG.ELC.RNWX.KH","710000000","827000000","1108000000","1371000000","1562000000","1644000000","1643000000","1424000000","1577000000","1608000000","1534000000","1519000000","1537000000","1850000000","2111000000","2194000000","2257000000","2227000000","2536000000","3356000000","4859000000","5863000000","15877000000","18139000000","19728000000","20831000000","21722000000","22597000000","24696000000","26996000000","21873000000","22307000000","22247000000","22113000000","24677000000","29667000000","30218000000","32706000000","33569000000","36998000000","40393000000","40996000000","42473000000","44654000000","47865000000","55917000000","62605000000","71283000000","90065000000","111835000000","154768000000","191228000000","230499000000","307685000000","366028000000","","","",
"Europe & Central Asia (excluding high income)","ECA","Electricity production from renewable sources, excluding hydroelectric (kWh)","EG.ELC.RNWX.KH","41000000","44000000","45000000","63000000","97000000","100000000","122000000","173000000","179000000","178000000","166000000","162000000","175000000","197000000","207000000","220000000","161000000","218000000","137000000","145000000","136000000","110000000","0","0","22000000","6000000","44000000","58000000","69000000","63000000","156000000","194000000","188000000","214000000","197000000","376000000","326000000","446000000","412000000","307000000","364000000","469000000","487000000","638000000","724000000","719000000","882000000","1584000000","2218000000","3279000000","6114000000","9536000000","14136000000","20526000000","26819000000","","","",
"Europe & Central Asia","ECS","Electricity production from renewable sources, excluding hydroelectric (kWh)","EG.ELC.RNWX.KH","2208000000","2420000000","2483000000","2705000000","2771000000","3009000000","4101000000","4489000000","4997000000","5423000000","8276000000","8556000000","8441000000","8977000000","7429000000","8003000000","7976000000","8370000000","8883000000","9206000000","11214000000","11677000000","10461000000","10913000000","11646000000","12398000000","13610000000","13346000000","14134000000","14299000000","19955000000","21066000000","22679000000","25367000000","27786000000","31068000000","32031000000","39507000000","47314000000","52407000000","64533000000","71515000000","86915000000","103381000000","129585000000","151928000000","175620000000","209563000000","239343000000","270755000000","314476000000","381234000000","450266000000","508152000000","550127000000","","","",
"Ecuador","ECU","Electricity production from renewable sources, excluding hydroelectric (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","103000000","146000000","220000000","211000000","220000000","239000000","281000000","298000000","357000000","495000000","","","",
"Egypt, Arab Rep.","EGY","Electricity production from renewable sources, excluding hydroelectric (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24000000","137000000","221000000","204000000","368000000","523000000","552000000","616000000","831000000","913000000","1133000000","1704000000","1747000000","1497000000","1529000000","1562000000","","","",
